Country	Tax	ID
Afghanistan	0	Q889
Albania	18.8	Q222
Algeria	31.1	Q262
Angola	9	Q916
Antigua and Barbuda	12.1	Q781
Argentina	29.9	Q414
Armenia	0	Q399
Australia	21	Q408
Austria	33.7	Q40
Azerbaijan	25.4	Q227
Bahamas, The	6.4	Q778
Bahrain	13.5	Q398
Bangladesh	0	Q902
Barbados	12.7	Q244
Belarus	39	Q184
Belgium	44.5	Q31
Belize	5	Q242
Benin	26.4	Q962
Bhutan	0	Q917
Bolivia	18.8	Q750
Bosnia and Herzegovina	13.6	Q225
Botswana	0	Q963
Brazil	39.4	Q155
Brunei Darussalam	7.9	Q921
Bulgaria	21.5	Q219
Burkina Faso	21.4	Q965
Burundi	10.2	Q967
Cabo Verde	18.7	Q1011
Cambodia	2.3	Q424
Cameroon	18.3	Q1009
Canada	12.7	Q16
Central African Republic	19.8	Q929
Chad	28.4	Q657
Chile	5.1	Q298
China	46.2	Q148
Hong Kong SAR, China	5.3	Q8646
Colombia	23.6	Q739
Comoros	0	Q970
Congo, Dem. Rep.	12.6	Q974
Congo, Rep.	31.3	Q971
Costa Rica	32.7	Q800
Cote d'Ivoire	23.3	Q1008
Croatia	19.4	Q224
Cyprus	13	Q229
Czech Republic	38.4	Q213
Denmark	4	Q35
Djibouti	17.7	Q977
Dominica	7.9	Q784
Dominican Republic	18.6	Q786
Ecuador	13.7	Q736
Egypt, Arab Rep.	25.5	Q79
El Salvador	18.3	Q792
Equatorial Guinea	25.4	Q983
Eritrea	0	Q986
Estonia	38	Q191
Ethiopia	12.4	Q115
Fiji	12.4	Q712
Finland	23	Q33
France	50	Q142
Gabon	25.5	Q1000
Gambia, The	12.6	Q1005
Georgia	0	Q230
Germany	21.5	Q183
Ghana	14.7	Q117
Greece	28.3	Q41
Grenada	5.6	Q769
Guatemala	14.3	Q774
Guinea	28.6	Q1006
Guinea-Bissau	24.8	Q1007
Guyana	9.2	Q734
Haiti	12.4	Q790
Honduras	8.8	Q783
Hungary	26.4	Q28
Iceland	20.6	Q189
India	20.2	Q668
Indonesia	11.6	Q252
Iran, Islamic Rep.	25.9	Q794
Iraq	13.5	Q796
Ireland	12.4	Q27
Israel	5.8	Q801
Italy	42.9	Q38
Jamaica	13.4	Q766
Japan	18.6	Q17
Jordan	16.1	Q810
Kazakhstan	10.1	Q232
Kenya	1.9	Q114
Kiribati	8.5	Q710
Korea, Rep.	13.7	Q884
Kosovo	5.6	Q1246
Kuwait	13	Q817
Kyrgyz Republic	19.5	Q813
Lao PDR	6.8	Q819
Latvia	27.2	Q211
Lebanon	24.9	Q822
Lesotho	0	Q1013
Liberia	6.1	Q1014
Libya	10.3	Q1016
Liechtenstein	-2	Q347
Lithuania	35.2	Q37
Luxembourg	15.4	Q32
North Macedonia	0	Q221
Madagascar	20.3	Q1019
Malawi	12.4	Q1020
Malaysia	16.7	Q833
Maldives	7.9	Q826
Mali	43.1	Q912
Malta	11.1	Q233
Marshall Islands	13	Q709
Mauritania	10.3	Q1025
Mauritius	8.2	Q1027
Mexico	27.2	Q96
Micronesia, Fed. Sts.	8.5	Q702
Moldova	29.9	Q217
Mongolia	13.5	Q711
Montenegro	13.4	Q236
Morocco	23.3	Q1028
Mozambique	4.5	Q1029
Myanmar	0.3	Q836
Namibia	1.9	Q1030
Nepal	26.2	Q837
Netherlands	20.5	Q55
New Zealand	2.8	Q664
Nicaragua	23.7	Q811
Niger	22.3	Q1032
Nigeria	13.5	Q1033
Norway	15.9	Q20
Oman	13	Q842
Pakistan	15	Q843
Palau	10.7	Q695
Panama	20	Q804
Papua New Guinea	9.5	Q691
Paraguay	18.6	Q733
Peru	11	Q419
Philippines	8.9	Q928
Poland	25.3	Q36
Portugal	26.8	Q45
Puerto Rico	13.4	Q1183
Qatar	11.3	Q846
Romania	3.4	Q218
Russian Federation	36.7	Q159
Rwanda	6	Q1037
Samoa	8.5	Q683
San Marino	30.9	Q238
Sao Tome and Principe	6.8	Q1039
Saudi Arabia	13.5	Q851
Senegal	23.6	Q1041
Serbia	20.2	Q403
Seychelles	2.3	Q1042
Sierra Leone	11.3	Q1044
Singapore	17.8	Q334
Slovak Republic	39.7	Q214
Slovenia	18.2	Q215
Solomon Islands	8.5	Q685
South Africa	4	Q258
South Sudan	19.2	Q958
Spain	35.8	Q29
Sri Lanka	16.9	Q854
St. Kitts and Nevis	11.2	Q763
St. Lucia	5.6	Q760
St. Vincent and the Grenadines	6.2	Q757
Sudan	19.2	Q1049
Suriname	0	Q730
Eswatini	6.4	Q1050
Sweden	35.4	Q34
Switzerland	17.7	Q39
Syrian Arab Republic	19.3	Q858
Tajikistan	28.5	Q863
Tanzania	17.5	Q924
Thailand	5.4	Q869
Timor-Leste	6.8	Q574
Togo	23.1	Q945
Tonga	5.6	Q678
Trinidad and Tobago	9.4	Q754
Tunisia	25.3	Q948
Turkey	19.7	Q43
Uganda	11.3	Q1036
Ukraine	33.8	Q212
United Arab Emirates	14.1	Q878
United Kingdom	12	Q145
United States	9.8	Q30
Uruguay	15.6	Q77
Uzbekistan	17.4	Q265
Vanuatu	4.5	Q686
Venezuela, RB	18.2	Q717
Vietnam	24.3	Q881
West Bank and Gaza	0	Q407199
Yemen, Rep.	11.3	Q805
Zambia	10.4	Q953
Zimbabwe	5.6	Q954
