Country	Payments	ID
Afghanistan	19	Q889
Albania	35	Q222
Algeria	27	Q262
Angola	31	Q916
Antigua and Barbuda	57	Q781
Argentina	9	Q414
Armenia	15	Q399
Australia	11	Q408
Austria	12	Q40
Azerbaijan	9	Q227
Bahamas, The	20	Q778
Bahrain	3	Q398
Bangladesh	33	Q902
Barbados	28	Q244
Belarus	7	Q184
Belgium	11	Q31
Belize	29	Q242
Benin	54	Q962
Bhutan	18	Q917
Bolivia	42	Q750
Bosnia and Herzegovina	33	Q225
Botswana	34	Q963
Brazil	10	Q155
Brunei Darussalam	5	Q921
Bulgaria	14	Q219
Burkina Faso	45	Q965
Burundi	24	Q967
Cabo Verde	30	Q1011
Cambodia	40	Q424
Cameroon	44	Q1009
Canada	8	Q16
Central African Republic	56	Q929
Chad	54	Q657
Chile	7	Q298
China	7	Q148
Hong Kong SAR, China	3	Q8646
Colombia	10	Q739
Comoros	33	Q970
Congo, Dem. Rep.	52	Q974
Congo, Rep.	50	Q971
Costa Rica	10	Q800
Cote d'Ivoire	25	Q1008
Croatia	12	Q224
Cyprus	16	Q229
Czech Republic	8	Q213
Denmark	10	Q35
Djibouti	35	Q977
Dominica	37	Q784
Dominican Republic	7	Q786
Ecuador	8	Q736
Egypt, Arab Rep.	27	Q79
El Salvador	7	Q792
Equatorial Guinea	46	Q983
Eritrea	30	Q986
Estonia	8	Q191
Ethiopia	29	Q115
Fiji	38	Q712
Finland	8	Q33
France	9	Q142
Gabon	50	Q1000
Gambia, The	49	Q1005
Georgia	5	Q230
Germany	9	Q183
Ghana	36	Q117
Greece	8	Q41
Grenada	42	Q769
Guatemala	8	Q774
Guinea	33	Q1006
Guinea-Bissau	46	Q1007
Guyana	35	Q734
Haiti	47	Q790
Honduras	59	Q783
Hungary	11	Q28
Iceland	21	Q189
India	11	Q668
Indonesia	26	Q252
Iran, Islamic Rep.	20	Q794
Iraq	15	Q796
Ireland	9	Q27
Israel	6	Q801
Italy	14	Q38
Jamaica	11	Q766
Japan	19	Q17
Jordan	9	Q810
Kazakhstan	10	Q232
Kenya	24	Q114
Kiribati	11	Q710
Korea, Rep.	12	Q884
Kosovo	10	Q1246
Kuwait	12	Q817
Kyrgyz Republic	26	Q813
Lao PDR	35	Q819
Latvia	7	Q211
Lebanon	20	Q822
Lesotho	32	Q1013
Liberia	33	Q1014
Libya	19	Q1016
Liechtenstein	34	Q347
Lithuania	10	Q37
Luxembourg	23	Q32
North Macedonia	7	Q221
Madagascar	23	Q1019
Malawi	35	Q1020
Malaysia	9	Q833
Maldives	17	Q826
Mali	35	Q912
Malta	8	Q233
Marshall Islands	9	Q709
Mauritania	33	Q1025
Mauritius	8	Q1027
Mexico	6	Q96
Micronesia, Fed. Sts.	21	Q702
Moldova	10	Q217
Mongolia	19	Q711
Montenegro	18	Q236
Morocco	6	Q1028
Mozambique	37	Q1029
Myanmar	31	Q836
Namibia	27	Q1030
Nepal	46	Q837
Netherlands	9	Q55
New Zealand	7	Q664
Nicaragua	43	Q811
Niger	41	Q1032
Nigeria	48	Q1033
Norway	5	Q20
Oman	15	Q842
Pakistan	34	Q843
Palau	11	Q695
Panama	36	Q804
Papua New Guinea	45	Q691
Paraguay	19	Q733
Peru	8	Q419
Philippines	13	Q928
Poland	7	Q36
Portugal	8	Q45
Puerto Rico	16	Q1183
Qatar	4	Q846
Romania	14	Q218
Russian Federation	9	Q159
Rwanda	9	Q1037
Samoa	37	Q683
San Marino	18	Q238
Sao Tome and Principe	46	Q1039
Saudi Arabia	4	Q851
Senegal	53	Q1041
Serbia	33	Q403
Seychelles	29	Q1042
Sierra Leone	34	Q1044
Singapore	5	Q334
Slovak Republic	8	Q214
Slovenia	10	Q215
Solomon Islands	34	Q685
South Africa	7	Q258
South Sudan	37	Q958
Spain	9	Q29
Sri Lanka	36	Q854
St. Kitts and Nevis	39	Q763
St. Lucia	35	Q760
St. Vincent and the Grenadines	36	Q757
Sudan	42	Q1049
Suriname	30	Q730
Eswatini	33	Q1050
Sweden	6	Q34
Switzerland	19	Q39
Syrian Arab Republic	20	Q858
Tajikistan	7	Q863
Tanzania	59	Q924
Thailand	21	Q869
Timor-Leste	18	Q574
Togo	49	Q945
Tonga	30	Q678
Trinidad and Tobago	39	Q754
Tunisia	8	Q948
Turkey	10	Q43
Uganda	31	Q1036
Ukraine	5	Q212
United Arab Emirates	5	Q878
United Kingdom	9	Q145
United States	11	Q30
Uruguay	20	Q77
Uzbekistan	9	Q265
Vanuatu	31	Q686
Venezuela, RB	99	Q717
Vietnam	6	Q881
West Bank and Gaza	28	Q407199
Yemen, Rep.	44	Q805
Zambia	11	Q953
Zimbabwe	51	Q954
