Country	Time required	ID
Afghanistan	270	Q889
Albania	252	Q222
Algeria	265	Q262
Angola	287	Q916
Antigua and Barbuda	177	Q781
Argentina	312	Q414
Armenia	264	Q399
Australia	105	Q408
Austria	131	Q40
Azerbaijan	159	Q227
Bahamas, The	155	Q778
Bahrain	23	Q398
Bangladesh	435	Q902
Barbados	241	Q244
Belarus	170	Q184
Belgium	136	Q31
Belize	147	Q242
Benin	270	Q962
Bhutan	52	Q917
Bolivia	1025	Q750
Bosnia and Herzegovina	411	Q225
Botswana	120	Q963
Brazil	1501	Q155
Brunei Darussalam	53	Q921
Bulgaria	441	Q219
Burkina Faso	270	Q965
Burundi	232	Q967
Cabo Verde	180	Q1011
Cambodia	173	Q424
Cameroon	624	Q1009
Canada	131	Q16
Central African Republic	483	Q929
Chad	834	Q657
Chile	296	Q298
China	138	Q148
Hong Kong SAR, China	35	Q8646
Colombia	256	Q739
Comoros	100	Q970
Congo, Dem. Rep.	346	Q974
Congo, Rep.	602	Q971
Costa Rica	151	Q800
Cote d'Ivoire	187	Q1008
Croatia	206	Q224
Cyprus	120	Q229
Czech Republic	230	Q213
Denmark	132	Q35
Djibouti	76	Q977
Dominica	117	Q784
Dominican Republic	317	Q786
Ecuador	664	Q736
Egypt, Arab Rep.	370	Q79
El Salvador	168	Q792
Equatorial Guinea	492	Q983
Eritrea	216	Q986
Estonia	50	Q191
Ethiopia	300	Q115
Fiji	247	Q712
Finland	90	Q33
France	139	Q142
Gabon	632	Q1000
Gambia, The	326	Q1005
Georgia	216	Q230
Germany	218	Q183
Ghana	226	Q117
Greece	193	Q41
Grenada	140	Q769
Guatemala	248	Q774
Guinea	400	Q1006
Guinea-Bissau	218	Q1007
Guyana	256	Q734
Haiti	184	Q790
Honduras	203	Q783
Hungary	277	Q28
Iceland	140	Q189
India	252	Q668
Indonesia	191	Q252
Iran, Islamic Rep.	216	Q794
Iraq	312	Q796
Ireland	82	Q27
Israel	234	Q801
Italy	238	Q38
Jamaica	268	Q766
Japan	129	Q17
Jordan	97	Q810
Kazakhstan	186	Q232
Kenya	180	Q114
Kiribati	168	Q710
Korea, Rep.	174	Q884
Kosovo	154	Q1246
Kuwait	98	Q817
Kyrgyz Republic	220	Q813
Lao PDR	362	Q819
Latvia	169	Q211
Lebanon	181	Q822
Lesotho	327	Q1013
Liberia	140	Q1014
Libya	889	Q1016
Liechtenstein	49	Q347
Lithuania	95	Q37
Luxembourg	55	Q32
North Macedonia	119	Q221
Madagascar	183	Q1019
Malawi	169	Q1020
Malaysia	174	Q833
Maldives	391	Q826
Mali	276	Q912
Malta	139	Q233
Marshall Islands	56	Q709
Mauritania	270	Q1025
Mauritius	140	Q1027
Mexico	241	Q96
Micronesia, Fed. Sts.	128	Q702
Moldova	183	Q217
Mongolia	134	Q711
Montenegro	300	Q236
Morocco	155	Q1028
Mozambique	200	Q1029
Myanmar	282	Q836
Namibia	302	Q1030
Nepal	377	Q837
Netherlands	119	Q55
New Zealand	140	Q664
Nicaragua	201	Q811
Niger	270	Q1032
Nigeria	343	Q1033
Norway	79	Q20
Oman	68	Q842
Pakistan	283	Q843
Palau	52	Q695
Panama	408	Q804
Papua New Guinea	207	Q691
Paraguay	378	Q733
Peru	260	Q419
Philippines	171	Q928
Poland	334	Q36
Portugal	243	Q45
Puerto Rico	218	Q1183
Qatar	41	Q846
Romania	163	Q218
Russian Federation	159	Q159
Rwanda	91	Q1037
Samoa	224	Q683
San Marino	52	Q238
Sao Tome and Principe	424	Q1039
Saudi Arabia	104	Q851
Senegal	416	Q1041
Serbia	226	Q403
Seychelles	85	Q1042
Sierra Leone	343	Q1044
Singapore	64	Q334
Slovak Republic	192	Q214
Slovenia	233	Q215
Solomon Islands	80	Q685
South Africa	210	Q258
South Sudan	210	Q958
Spain	143	Q29
Sri Lanka	129	Q854
St. Kitts and Nevis	203	Q763
St. Lucia	110	Q760
St. Vincent and the Grenadines	108	Q757
Sudan	180	Q1049
Suriname	199	Q730
Eswatini	122	Q1050
Sweden	122	Q34
Switzerland	63	Q39
Syrian Arab Republic	336	Q858
Tajikistan	224	Q863
Tanzania	207	Q924
Thailand	229	Q869
Timor-Leste	234	Q574
Togo	159	Q945
Tonga	200	Q678
Trinidad and Tobago	210	Q754
Tunisia	144	Q948
Turkey	170	Q43
Uganda	195	Q1036
Ukraine	328	Q212
United Arab Emirates	116	Q878
United Kingdom	114	Q145
United States	175	Q30
Uruguay	163	Q77
Uzbekistan	181	Q265
Vanuatu	120	Q686
Venezuela, RB	920	Q717
Vietnam	384	Q881
West Bank and Gaza	174	Q407199
Yemen, Rep.	248	Q805
Zambia	158	Q953
Zimbabwe	242	Q954
