Country	Survey year	Poorest quintile	Richest quintile	ID
Afghanistan	2015	15	9	Q889
Albania	2009	6	1	Q222
Angola	2016	48	16	Q916
Armenia	2016	6	0	Q399
Bangladesh	2014	41	23	Q902
Benin	2018	31	9	Q962
Bolivia	2008	31	8	Q750
Burkina Faso	2010	36	12	Q965
Burundi	2017	13	7	Q967
Cambodia	2014	18	7	Q424
Cameroon	2014	38	14	Q1009
Chad	2015	47	25	Q657
Colombia	2015	27	5	Q739
Comoros	2012	17	4	Q970
Congo, Dem. Rep.	2014	42	15	Q974
Congo, Rep.	2016	51	17	Q971
Cote d'Ivoire	2016	51	13	Q1008
Dominican Republic	2014	35	9	Q786
Egypt, Arab Rep.	2014	9	4	Q79
Ethiopia	2016	24	6	Q115
Gabon	2012	49	10	Q1000
Gambia, The	2018	25	6	Q1005
Ghana	2014	24	8	Q117
Guatemala	2015	28	11	Q774
Guinea	2018	35	14	Q1006
Guyana	2009	38	4	Q734
Haiti	2017	19	4	Q790
Honduras	2012	35	11	Q783
India	2016	11	3	Q668
Indonesia	2017	13	2	Q252
Jordan	2018	13	1	Q810
Kenya	2014	22	9	Q114
Kyrgyz Republic	2018	7	2	Q813
Lesotho	2018	28	6	Q1013
Liberia	2013	48	13	Q1014
Madagascar	2009	53	20	Q1019
Malawi	2016	43	17	Q1020
Maldives	2017	3	2	Q826
Mali	2018	34	25	Q912
Mozambique	2011	64	21	Q1029
Myanmar	2016	9	3	Q836
Namibia	2013	28	8	Q1030
Nepal	2016	20	6	Q837
Niger	2012	49	24	Q1032
Nigeria	2018	32	3	Q1033
Pakistan	2018	10	5	Q843
Papua New Guinea	2018	16	6	Q691
Peru	2012	26	3	Q419
Philippines	2017	15	3	Q928
Rwanda	2015	13	5	Q1037
Sao Tome and Principe	2009	37	8	Q1039
Senegal	2017	32	6	Q1041
Sierra Leone	2017	51	16	Q1044
South Africa	2016	20	7	Q258
Tajikistan	2017	5	6	Q863
Tanzania	2016	42	15	Q924
Timor-Leste	2016	11	4	Q574
Togo	2014	36	8	Q945
Turkey	2013	7	1	Q43
Uganda	2016	34	15	Q1036
Yemen, Rep.	2013	11	8	Q805
Zambia	2014	45	10	Q953
Zimbabwe	2015	34	6	Q954
