Country	Fixed telephone	Mobile cellular	ID
Afghanistan	0.3	59.1	Q889
Albania	2020.6	94.2	Q222
Algeria	2020.9	111.7	Q262
Andorra	51.1	107.3	Q228
Angola	0.6	43.1	Q916
Antigua and Barbuda	25.2	192.8	Q781
Argentina	22	132.1	Q414
Armenia	2020.2	121.3	Q399
Australia	32.5	113.6	Q408
Austria	42.4	123.5	Q40
Azerbaijan	2020.9	103.9	Q227
Bahamas, The	29.4	99	Q778
Bahrain	17.5	133.3	Q398
Bangladesh	0.9	100.2	Q902
Barbados	44.7	114.9	Q244
Belarus	47.5	122.9	Q184
Belgium	35.8	99.7	Q31
Belize	5.4	85.5	Q242
Benin	0.4	82.4	Q962
Bermuda	34.7	103.1	Q23635
Bhutan	2.9	93.3	Q917
Bolivia	6.3	100.8	Q750
Bosnia and Herzegovina	2020.8	104.1	Q225
Botswana	2020.3	150	Q963
Brazil	18.3	98.8	Q155
British Virgin Islands	20.9	134.1	Q25305
Brunei Darussalam	19.3	131.9	Q921
Bulgaria	2020.9	118.9	Q219
Burkina Faso	0.4	97.9	Q965
Burundi	0.2	56.5	Q967
Cabo Verde	11.5	112.2	Q1011
Cambodia	0.5	119.5	Q424
Cameroon	3.6	73.2	Q1009
Canada	37.3	89.6	Q16
Cayman Islands	54.9	152.5	Q5785
Central African Republic	0	27.4	Q929
Chad	0.1	45.1	Q657
Chile	16	134.4	Q298
China	13.5	115.5	Q148
Colombia	14	129.9	Q739
Comoros	1.2	59.9	Q970
Congo, Dem. Rep.	0	43.4	Q974
Congo, Rep.	0.3	95.3	Q971
Costa Rica	2020.5	169.9	Q800
Cote d'Ivoire	1.2	134.9	Q1008
Croatia	32.6	105.6	Q224
Cuba	2020.7	47.4	Q241
Curacao	36.1	114.5	Q25279
Cyprus	36.1	138.9	Q229
Czech Republic	2020.2	119.1	Q213
Denmark	2020.7	125.1	Q35
Djibouti	3.8	41.2	Q977
Dominica	3.7	105.8	Q784
Dominican Republic	12	84.1	Q786
Ecuador	2020.8	92.3	Q736
Egypt, Arab Rep.	8	95.3	Q79
El Salvador	14.4	146.9	Q792
Equatorial Guinea	0.8	45.2	Q983
Eritrea	1.9	20.4	Q986
Estonia	2020.1	145.4	Q191
Eswatini	3.6	93.5	Q1050
Ethiopia	1.1	37.2	Q115
Faroe Islands	35.4	117.1	Q4628
Fiji	8.7	117.8	Q712
Finland	5.8	129.5	Q33
France	59.4	108.4	Q142
French Polynesia	32.5	109	Q30971
Gabon	1	138.3	Q1000
Gambia, The	1.9	139.5	Q1005
Georgia	15.1	136.4	Q230
Germany	51.1	129.3	Q183
Ghana	0.9	137.5	Q117
Gibraltar	52.4	121.7	Q1410
Greece	48.3	115.7	Q41
Greenland	14.2	110.6	Q223
Grenada	29.3	102.1	Q769
Guatemala	14.1	118.7	Q774
Guinea	0	96.8	Q1006
Guinea-Bissau	0	79	Q1007
Guyana	17.5	83	Q734
Haiti	0.1	57.5	Q790
Honduras	5.5	79.2	Q783
Hong Kong SAR, China	56.9	270	Q8646
Hungary	31.1	103.4	Q28
Iceland	40.6	126.1	Q189
India	1.6	86.9	Q668
Indonesia	3.1	119.3	Q252
Iran, Islamic Rep.	37.3	108.5	Q794
Iraq	7	95	Q796
Ireland	38	103.2	Q27
Israel	38.2	127.7	Q801
Italy	33.6	137.5	Q38
Jamaica	2020.4	101	Q766
Japan	49.9	141.4	Q17
Jordan	2020.7	87.6	Q810
Kazakhstan	2020.3	142.3	Q232
Kenya	0.1	96.3	Q114
Kiribati	0	50.8	Q710
Korea, Dem. Peopleâ€™s Rep.	4.6	15	Q423
Korea, Rep.	50.6	129.7	Q884
Kuwait	12.5	171.6	Q817
Kyrgyz Republic	2020.3	138.6	Q813
Lao PDR	21	51.9	Q819
Latvia	2020.8	107.3	Q211
Lebanon	13	64.5	Q822
Lesotho	0.4	113.8	Q1013
Liberia	0.2	56.6	Q1014
Libya	2020.9	91.5	Q1016
Liechtenstein	40.2	124.7	Q347
Lithuania	2020.2	163.9	Q37
Luxembourg	45.3	132.2	Q32
Macao SAR, China	19.5	345.3	Q14773
North Macedonia	2020.4	94.5	Q221
Madagascar	0.3	40.6	Q1019
Malawi	0.1	39	Q1020
Malaysia	20.4	134.5	Q833
Maldives	3.6	166.4	Q826
Mali	1.2	115.1	Q912
