Country	Survey Year	Regulations and tax	ID
Afghanistan	2014	9.8	Q889
Albania	2019	2.3	Q222
Algeria	2007	25.1	Q262
Angola	2010	12.2	Q916
Antigua and Barbuda	2010	4.5	Q781
Argentina	2017	20.5	Q414
Armenia	2013	11.9	Q399
Azerbaijan	2013	0.3	Q227
Bahamas, The	2010	3.9	Q778
Bangladesh	2013	3.3	Q902
Barbados	2010	4.3	Q244
Belarus	2018	13.3	Q184
Belize	2010	3.9	Q242
Benin	2016	5.7	Q962
Bhutan	2015	28.8	Q917
Bolivia	2017	15.1	Q750
Bosnia and Herzegovina	2019	4.7	Q225
Botswana	2010	10.2	Q963
Brazil	2009	14.2	Q155
Bulgaria	2019	10.5	Q219
Burkina Faso	2009	22.2	Q965
Burundi	2014	2.3	Q967
Cambodia	2016	16.4	Q424
Cameroon	2016	17.9	Q1009
Cabo Verde	2009	3.9	Q1011
Central African Republic	2011	9.2	Q929
Chad	2018	13.3	Q657
Chile	2010	9.9	Q298
China	2012	0.9	Q148
Colombia	2017	19.5	Q739
Congo, Dem. Rep.	2013	4.7	Q974
Congo, Rep.	2009	6	Q971
Costa Rica	2010	8.4	Q800
Cote d'Ivoire	2016	15.2	Q1008
Croatia	2019	15	Q224
Cyprus	2019	5.5	Q229
Czech Republic	2019	13.2	Q213
Djibouti	2013	5.3	Q977
Dominica	2010	1.9	Q784
Dominican Republic	2016	7.1	Q786
Ecuador	2017	15.6	Q736
Egypt, Arab Rep.	2016	7	Q79
El Salvador	2016	11.2	Q792
Eritrea	2009	0.5	Q986
Estonia	2019	3.9	Q191
Ethiopia	2015	11.9	Q115
Fiji	2009	4.4	Q712
Gabon	2009	2.8	Q1000
Gambia, The	2018	2.5	Q1005
Georgia	2019	1.7	Q230
Germany	2005	1.2	Q183
Ghana	2013	4	Q117
Greece	2018	6.1	Q41
Grenada	2010	7.7	Q769
Guatemala	2017	9.1	Q774
Guinea	2016	3.9	Q1006
Guinea-Bissau	2006	2.9	Q1007
Guyana	2010	11.5	Q734
Honduras	2016	9.4	Q783
Hungary	2019	10.4	Q28
India	2014	1.9	Q668
Indonesia	2015	0.9	Q252
Iraq	2011	6.5	Q796
Ireland	2005	2.3	Q27
Israel	2013	4.3	Q801
Italy	2019	8.9	Q38
Jamaica	2010	1.7	Q766
Jordan	2019	0.4	Q810
Kazakhstan	2019	4.3	Q232
Kenya	2018	8.6	Q114
Korea, Rep.	2005	0.1	Q884
Kosovo	2019	10.4	Q1246
Kyrgyz Republic	2019	11.3	Q813
Lao PDR	2018	0.8	Q819
Latvia	2019	26.8	Q211
Lebanon	2019	2.4	Q822
Lesotho	2016	2.7	Q1013
Liberia	2017	5.4	Q1014
Lithuania	2019	6.2	Q37
North Macedonia	2019	2.5	Q221
Madagascar	2013	20.8	Q1019
Malawi	2014	5	Q1020
Malaysia	2015	3.1	Q833
Mali	2016	27.5	Q912
Malta	2019	8.3	Q233
Mauritania	2014	17.2	Q1025
Mauritius	2009	9.4	Q1027
Mexico	2010	13.6	Q96
Micronesia, Fed. Sts.	2009	12.4	Q702
Moldova	2019	9.8	Q217
Mongolia	2019	18.5	Q711
Montenegro	2019	1.5	Q236
Morocco	2019	15.2	Q1028
Mozambique	2018	6.5	Q1029
Myanmar	2016	0.8	Q836
Namibia	2014	3.1	Q1030
Nepal	2013	1.4	Q837
Nicaragua	2016	11.1	Q811
Niger	2017	11.4	Q1032
Nigeria	2014	7.5	Q1033
Pakistan	2013	3.5	Q843
Panama	2010	33.3	Q804
Papua New Guinea	2015	8.8	Q691
Paraguay	2017	8.9	Q733
Peru	2017	11.8	Q419
Philippines	2015	5.4	Q928
Poland	2019	7.7	Q36
Portugal	2019	9.9	Q45
Romania	2013	15.8	Q218
Russian Federation	2019	5.6	Q159
Rwanda	2019	3	Q1037
Samoa	2009	13.9	Q683
Senegal	2014	3	Q1041
Serbia	2019	10	Q403
Sierra Leone	2017	13.1	Q1044
Slovak Republic	2019	16.5	Q214
Slovenia	2019	7.5	Q215
Solomon Islands	2015	9.2	Q685
South Africa	2007	5.9	Q258
South Sudan	2014	18	Q958
Spain	2005	0.8	Q29
Sri Lanka	2011	1.7	Q854
St. Kitts and Nevis	2010	10.6	Q763
St. Lucia	2010	2.2	Q760
St. Vincent and the Grenadines	2010	4.7	Q757
Sudan	2014	4.1	Q1049
Suriname	2018	4.9	Q730
Eswatini	2016	2	Q1050
Sweden	2014	4.9	Q34
Syrian Arab Republic	2009	12.2	Q858
Tajikistan	2019	10.7	Q863
Tanzania	2013	2	Q924
Thailand	2016	4.8	Q869
Timor-Leste	2015	6	Q574
Togo	2016	10.3	Q945
Tonga	2009	6.6	Q678
Trinidad and Tobago	2010	7.9	Q754
Tunisia	2013	46.5	Q948
Turkey	2019	5.9	Q43
Uganda	2013	6.5	Q1036
Ukraine	2019	10.8	Q212
Uruguay	2017	19.2	Q77
Uzbekistan	2019	4.9	Q265
Vanuatu	2009	7.5	Q686
Venezuela, RB	2010	27.6	Q717
Vietnam	2015	1.7	Q881
West Bank and Gaza	2019	1	Q407199
Yemen, Rep.	2013	1.9	Q805
Zambia	2019	8.1	Q953
Zimbabwe	2016	3.2	Q954
