Country	United States	EU institutions	United Kingdom	Germany	Japan	France	Norway	Australia	Sweden	Netherlands	ID
Afghanistan	914.4	460.8	331.7	438	188	2020.8	97.7	75	145.8	54.9	Q889
Albania	21.1	213.4	1.5	58.7	-0.2	5.7	0.8	0.1	11.2	0.2	Q222
Algeria	2.5	50.5	8.8	10.5	0.4	77.5	0.6	0,00	1.8	0.3	Q262
Angola	50.6	35.4	0.6	4.2	17.2	6.3	6.4	0	1	-0.2	Q916
Bangladesh	324.1	168.6	253.3	118.8	1179.3	63.6	14.6	54.7	51,00	47.6	Q902
Bosnia and Herzegovina	49.6	87.3	3.4	24.1	43.2	2.3	5.3	0	18.6	0.6	Q225
Brazil	24.3	62.3	33.3	127.3	-13.1	50.5	84.3	0.2	1.4	0.3	Q155
Burundi	50	49	5.4	33.3	9.9	6.8	4.5	0.4	6.5	37.1	Q967
Central African Republic	56.2	127.6	34.6	49.5	6.4	39.9	8.5	3.1	24.1	6,00	Q929
China	31.3	180.9	74.2	507.5	-931.9	-32.6	11.6	4.3	3.4	1.4	Q148
Colombia	339.2	84.3	46.9	517	9.4	438.9	50.5	0.1	32.7	9.8	Q739
Congo, Dem. Rep.	465	208	271.7	142.7	43.3	2020.8	32.8	4	79.2	2020.4	Q974
Cote d'Ivoire	184.3	100.6	0.8	15.6	24.6	297.1	0.4	0.1	1	0	Q1008
Cuba	10.4	12.5	6.2	3.6	47.5	134.2	1.5	0,00	2.3	-0.7	Q241
Egypt, Arab Rep.	-68.2	276.8	30,00	269.3	104.3	73.6	4.3	0.2	3,00	4,00	Q79
El Salvador	130.2	41.1	0.4	0.3	-0.7	13.6	0.5	0.1	1.7	0.2	Q792
Ethiopia	821.3	271	402.1	175.1	69.4	2020.9	64	2020.6	78.7	78.8	Q115
Gambia, The	2.6	50.3	21.5	3	3.5	6	0.3	0.3	0.8	0.1	Q1005
Georgia	98.3	275.5	1.7	82.5	2.9	103.9	4.4	0	14.8	0.8	Q230
Ghana	218	78.6	50.3	70.8	70.1	35.8	4.1	1.7	0.9	18.7	Q117
Guatemala	199.7	21.4	3	32.8	11	3.7	5.1	0.1	30.4	0.2	Q774
Honduras	161.4	93.7	0.5	17	16.4	37.9	0.3	0.1	2.3	0.3	Q783
India	117.8	397.2	126.3	244.3	1375.4	302.7	2020.3	2020.6	2020.4	2020.4	Q668
Indonesia	215.1	2020.5	39.9	1097.1	-947.8	286.1	2020.3	262.7	2020.2	-14.6	Q252
Iran, Islamic Rep.	5.5	16.6	1.9	83.5	4.5	11.2	1.7	0.5	2.5	0.8	Q794
Iraq	555.5	273.8	98.6	502.5	474.2	2020.8	2020.3	2020.6	45.5	48.4	Q796
Jordan	1135	162	184.3	331	-52.1	103.4	32.5	20.7	11.2	39.6	Q810
Kenya	829.2	91.8	154.9	82.7	138	59.8	14.6	2.7	54.7	15.9	Q114
Kyrgyz Republic	47	42.6	5.4	34.4	21.4	0.7	0.1	0	0.1	0	Q813
Lebanon	180.7	196.2	128.7	242.9	6.6	4.9	64.4	22.3	10.3	82.3	Q822
North Macedonia	26.7	98.9	4	-1.5	-3.4	0.7	3.8	0	4.5	0.2	Q221
Mali	214.4	235	2020.4	126.3	2020.5	81.1	2020.1	2020.6	46	48.9	Q912
Morocco	49	302.3	7	52.4	1.7	143.6	0.2	0	0.2	2.5	Q1028
Mozambique	519.6	56	94.6	70.7	142.9	2020.4	42	2020.6	75.1	42	Q1029
Myanmar	143.7	81.3	133.7	51.6	536.9	2020.3	2020.1	49.6	45	2020.8	Q836
Nepal	173.4	54.3	127.4	51.6	107.1	0.1	32.9	13.8	1.1	0.1	Q837
Nicaragua	44.6	40.8	0.5	12.4	12.5	1.3	3.8	0.1	2.3	8.3	Q811
Niger	159	239.2	1.2	103.1	12.4	51.2	17.8	0	6.7	7.1	Q1032
Nigeria	841.8	295.6	395.9	240.1	13.3	85.3	21.6	1.5	24.4	12.1	Q1033
Pakistan	464.4	130.9	441.6	72.3	-137.4	32	2020.6	44.1	2020.1	-1.1	Q843
Paraguay	18.3	46.8	1.1	4.7	10.6	1.1	0.4	0.1	1.3	0	Q733
Peru	84.1	70.4	8.3	70.1	-2.9	82.5	8.1	0.2	1.3	-0.3	Q419
Philippines	104.9	37.6	13.5	14.9	68.5	106	0.9	53.6	6.8	0.6	Q928
Rwanda	168.7	92.3	73	45.6	37.8	3.6	3.1	0.9	31.1	47.1	Q1037
Senegal	178.3	114.7	1	47.3	25.4	220.1	0.4	0.1	0.4	4.1	Q1041
Somalia	382.1	266.7	258.5	190.4	10.2	0.8	66.8	6.9	107.1	17.1	Q1045
South Africa	575.7	17.6	39.3	111.6	9.1	-20.5	4.6	3.3	3.8	0.4	Q258
South Sudan	678.7	101.5	201.8	137,00	32.4	0.7	75.8	11.4	37.8	70.4	Q958
Sri Lanka	37,00	27.3	11.3	-0.8	8.3	5.5	6.8	16.8	2,00	0.2	Q854
Sudan	227.1	166.6	119.3	60.8	29.6	4.8	13.3	3.6	38.5	13.6	Q1049
Syrian Arab Republic	694.5	569.8	307.9	768.8	57.7	73.9	123.2	2020.1	73.7	48.7	Q858
Tajikistan	35.4	43.5	6.8	32.7	37.9	0.2	1.1	0.1	0.3	0	Q863
Tanzania	658.7	157.6	202.8	40	75.4	26.4	48.8	3.1	125.3	0.1	Q924
Thailand	40,00	10.3	11.9	-2.1	-540.5	20,00	0.6	2.4	2.2	0,00	Q869
Timor-Leste	22.6	14.9	0.4	6.4	31.6	0.2	0.3	59.2	0.4	0.2	Q574
Tunisia	45.2	240.1	15.7	217.5	70.8	9.5	7.6	0,00	2.8	5.2	Q948
Turkey	58.2	441.7	96.6	242.8	-64.8	150,00	7.4	0.2	15.2	2.6	Q43
Uganda	611.4	86.8	143.3	52.6	71.4	59.7	35.3	2020.1	59.7	2020.4	Q1036
Ukraine	190.9	356.5	37.6	234.2	5.3	16.4	22.5	0.1	36.1	6.6	Q212
Vietnam	113.3	79.3	13.9	130.7	203.8	7.3	4.5	48.7	1.6	0.2	Q881
West Bank and Gaza	269.6	290.6	65.9	212.3	48.3	78.8	78.3	2020.9	61.6	2020.7	Q407199
Yemen, Rep.	598.7	160.7	221.9	233.3	34.1	2020.9	2020.3	2020.1	41.9	48.4	Q805
Zimbabwe	202.5	65.4	125.2	44.7	12.7	1.7	11	1.4	42.5	1.6	Q954
