Country	Millions	Percentage	ID
Afghanistan	2605	13.4	Q889
Albania	10122	67.2	Q222
Algeria	5710	3.2	Q262
Angola	54563	54	Q916
Argentina	280516	56.1	Q414
Armenia	11019	87.5	Q399
Azerbaijan	16212	36.4	Q227
Bangladesh	52124	18.2	Q902
Belarus	38844	67.7	Q184
Belize	1380	76.8	Q242
Benin	3691	35.9	Q962
Bhutan	2549	109.2	Q917
Bolivia	13280	33.8	Q750
Bosnia and Herzegovina	15824	80.4	Q225
Botswana	1749	9.7	Q963
Brazil	557823	30.3	Q155
Bulgaria	39874	60.3	Q219
Burkina Faso	3286	23.4	Q965
Burundi	589	19.2	Q967
Cabo Verde	1735	89.3	Q1011
Cambodia	13347	58.2	Q424
Cameroon	10865	28.7	Q1009
Central African Republic	779	32.7	Q929
Chad	3242	29.3	Q657
China	1962304	14.5	Q148
Colombia	134940	42.3	Q739
Comoros	191	16.5	Q970
Congo, Dem. Rep.	4984	10.9	Q974
Congo, Rep.	5147	51.1	Q971
Costa Rica	27819	49	Q800
Cote d'Ivoire	15660	37.9	Q1008
Djibouti	3264	157.6	Q977
Dominica	279	55.3	Q784
Dominican Republic	33905	43.8	Q786
Ecuador	45019	42.6	Q736
Egypt, Arab Rep.	98705	40.4	Q79
El Salvador	17486	71.1	Q792
Ethiopia	28027	33.4	Q115
Fiji	852	16.7	Q712
Gabon	6767	43	Q1000
Gambia, The	681	42.7	Q1005
Georgia	17118	110.6	Q230
Ghana	23316	36.3	Q117
Grenada	645	58.8	Q769
Guatemala	22349	29	Q774
Guinea	2555	24.6	Q1006
Guinea-Bissau	421	28.9	Q1007
Guyana	1609	44.6	Q734
Haiti	2213	22.8	Q790
Honduras	9709	43.7	Q783
India	521391	19.3	Q668
Indonesia	379664	37.6	Q252
Jamaica	16307	108	Q766
Jordan	32045	76.1	Q810
Kazakhstan	156921	105.7	Q232
Kenya	31511	36.1	Q114
Kosovo	2297	28.5	Q1246
Kyrgyz Republic	8120	103	Q813
Lao PDR	15588	90.2	Q819
Lebanon	79345	145.1	Q822
Lesotho	915	29.2	Q1013
Liberia	1256	44.7	Q1014
North Macedonia	8744	72	Q221
Madagascar	3716	31.8	Q1019
Malawi	2266	32.2	Q1020
Maldives	2332	48	Q826
Mali	4896	29.5	Q912
Mauritania	5218	97.8	Q1025
Mauritius	11207	71.8	Q1027
Mexico	452991	38	Q96
Moldova	7296	61.3	Q217
Mongolia	29377	253.9	Q711
Montenegro	7951	144.1	Q236
Morocco	49041	42.2	Q1028
Mozambique	15218	107.6	Q1029
Myanmar	14936	21.5	Q836
Nepal	5478	18.9	Q837
Nicaragua	11618	90.7	Q811
Niger	3260	36.1	Q1032
Nigeria	47047	12.4	Q1033
Pakistan	90957	27.6	Q843
Papua New Guinea	17718	78.4	Q691
Paraguay	15806	39.9	Q733
Peru	66697	31.3	Q419
Philippines	78824	19.9	Q928
Romania	112116	48	Q218
Russian Federation	453938	28.1	Q159
Rwanda	5403	58	Q1037
Samoa	427	51.3	Q683
Sao Tome and Principe	250	58.8	Q1039
Senegal	12273	52.4	Q1041
Serbia	34339	71.7	Q403
Sierra Leone	1713	45.1	Q1044
Solomon Islands	389	29.1	Q685
Somalia	2932	39.4	Q1045
South Africa	179306	50.6	Q258
Sri Lanka	52626	60.8	Q854
St. Lucia	616	35.1	Q760
St. Vincent and the Grenadines	328	37.6	Q757
Sudan	21596	56.9	Q1049
Eswatini	509	10.9	Q1050
Tajikistan	5977	67.7	Q863
Tanzania	18585	33.1	Q924
Thailand	169241	35.1	Q869
Timor-Leste	158	6.7	Q574
Togo	1761	33.3	Q945
Tonga	189	41.3	Q678
Tunisia	34661	90	Q948
Turkey	445139	59	Q43
Turkmenistan	907	2.3	Q874
Uganda	12330	46.3	Q1036
Ukraine	114512	89.6	Q212
Uzbekistan	17630	33.9	Q265
Vanuatu	402	45.9	Q686
Vietnam	108096	46.7	Q881
Yemen, Rep.	7037	26.1	Q805
Zambia	19116	73.7	Q953
Zimbabwe	12286	39.8	Q954
