Country	Rents %	ID
Afghanistan	0.6	Q889
Albania	1	Q222
Algeria	12.3	Q262
American Samoa	0	Q16641
Andorra	0	Q228
Angola	10.7	Q916
Antigua and Barbuda	0	Q781
Argentina	1.1	Q414
Armenia	4.4	Q399
Aruba	0	Q21203
Australia	6.1	Q408
Austria	0.1	Q40
Azerbaijan	15.4	Q227
Bahamas, The	0	Q778
Bahrain	3.2	Q398
Bangladesh	0.6	Q902
Barbados	0.1	Q244
Belarus	1.3	Q184
Belgium	0	Q31
Belize	0.9	Q242
Benin	6	Q962
Bermuda	0	Q23635
Bhutan	4.4	Q917
Bolivia	5.2	Q750
Bosnia and Herzegovina	1.2	Q225
Botswana	1.1	Q963
Brazil	3	Q155
Brunei Darussalam	14.7	Q921
Bulgaria	1.3	Q219
Burkina Faso	21.1	Q965
Burundi	17	Q967
Cambodia	1.9	Q424
Cameroon	5.9	Q1009
Canada	1.2	Q16
Cabo Verde	0.8	Q1011
Central African Republic	14.1	Q929
Chad	13.2	Q657
Chile	10.3	Q298
China	1.3	Q148
Hong Kong SAR, China	0	Q8646
Macao SAR, China	0	Q14773
Colombia	3.4	Q739
Comoros	2.4	Q970
Congo, Dem. Rep.	29	Q974
Congo, Rep.	20.9	Q971
Costa Rica	1.2	Q800
Cote d'Ivoire	5.6	Q1008
Croatia	0.6	Q224
Cuba	0.5	Q241
Cyprus	0	Q229
Czech Republic	0.3	Q213
Denmark	0.4	Q35
Djibouti	0.7	Q977
Dominica	0.1	Q784
Dominican Republic	2.2	Q786
Ecuador	3.7	Q736
Egypt, Arab Rep.	3.1	Q79
El Salvador	1	Q792
Equatorial Guinea	16.2	Q983
Estonia	1.1	Q191
Eswatini	2.9	Q1050
Ethiopia	11.4	Q115
Faroe Islands	0	Q4628
Fiji	1.7	Q712
Finland	0.6	Q33
France	0	Q142
Gabon	12.2	Q1000
Gambia, The	5.9	Q1005
Georgia	1.1	Q230
Germany	0.1	Q183
Ghana	11.7	Q117
Greece	0.1	Q41
Greenland	0	Q223
Grenada	0	Q769
Guam	0	Q16635
Guatemala	2	Q774
Guinea	21.1	Q1006
Guinea-Bissau	18.2	Q1007
Guyana	25.1	Q734
Haiti	1.3	Q790
Honduras	2.2	Q783
Hungary	0.3	Q28
Iceland	0	Q189
India	1.8	Q668
Indonesia	3.1	Q252
Iran, Islamic Rep.	13.5	Q794
Iraq	31.3	Q796
Ireland	0.1	Q27
Isle of Man	0	Q9676
Israel	0.2	Q801
Italy	0	Q38
Jamaica	1.2	Q766
Japan	0	Q17
Jordan	1.2	Q810
Kazakhstan	12.4	Q232
Kenya	2.7	Q114
Kiribati	0.1	Q710
Korea, Rep.	0	Q884
Kosovo	0.6	Q1246
Kuwait	32.1	Q817
Kyrgyz Republic	8.5	Q813
Lao PDR	8.1	Q819
Latvia	1	Q211
Lebanon	0	Q822
Lesotho	6.3	Q1013
Liberia	23.7	Q1014
Libya	22.5	Q1016
Liechtenstein	0	Q347
Lithuania	0.4	Q37
Luxembourg	0	Q32
North Macedonia	1.3	Q221
Madagascar	11.3	Q1019
Malawi	11	Q1020
Malaysia	5.5	Q833
Maldives	0	Q826
Mali	12.4	Q912
Malta	0	Q233
Marshall Islands	0	Q709
Mauritania	20.8	Q1025
Mauritius	0	Q1027
Mexico	2.3	Q96
Micronesia, Fed. Sts.	0	Q702
Moldova	0.3	Q217
Monaco	0	Q235
Mongolia	25.2	Q711
Montenegro	1	Q236
Morocco	2.2	Q1028
Mozambique	17.6	Q1029
Myanmar	6.8	Q836
Namibia	4.1	Q1030
Nepal	1.3	Q837
Netherlands	0.3	Q55
New Zealand	1	Q664
Nicaragua	3.6	Q811
Niger	13.4	Q1032
Nigeria	4.9	Q1033
Northern Mariana Islands	0	Q16644
Norway	4.1	Q20
Oman	19.7	Q842
Pakistan	0.9	Q843
Palau	0	Q695
Panama	0.2	Q804
Papua New Guinea	22.4	Q691
