Country	Total	ID
Afghanistan	63	Q889
Albania	10	Q222
Algeria	24	Q262
Andorra	3	Q228
Angola	78	Q916
Antigua and Barbuda	7	Q781
Argentina	10	Q414
Armenia	12	Q399
Australia	4	Q408
Austria	4	Q40
Azerbaijan	22	Q227
Bahamas, The	13	Q778
Bahrain	7	Q398
Bangladesh	32	Q902
Barbados	13	Q244
Belarus	3	Q184
Belgium	4	Q31
Belize	13	Q242
Benin	93	Q962
Bhutan	30	Q917
Bolivia	27	Q750
Bosnia and Herzegovina	6	Q225
Botswana	43	Q963
Brazil	14	Q155
Brunei Darussalam	11	Q921
Bulgaria	7	Q219
Burkina Faso	91	Q965
Burundi	59	Q967
Cabo Verde	16	Q1011
Cambodia	28	Q424
Cameroon	78	Q1009
Canada	5	Q16
Central African Republic	114	Q929
Chad	118	Q657
Chile	7	Q298
China	9	Q148
Colombia	14	Q739
Comoros	65	Q970
Congo, Dem. Rep.	88	Q974
Congo, Rep.	49	Q971
Costa Rica	9	Q800
Cote d'Ivoire	82	Q1008
Croatia	5	Q224
Cuba	5	Q241
Cyprus	2	Q229
Czech Republic	3	Q213
Denmark	4	Q35
Djibouti	59	Q977
Dominica	34	Q784
Dominican Republic	29	Q786
Ecuador	14	Q736
Egypt, Arab Rep.	21	Q79
El Salvador	14	Q792
Equatorial Guinea	85	Q983
Eritrea	42	Q986
Estonia	3	Q191
Eswatini	55	Q1050
Ethiopia	53	Q115
Fiji	26	Q712
Finland	2	Q33
France	4	Q142
Gabon	44	Q1000
Gambia, The	54	Q1005
Georgia	10	Q230
Germany	4	Q183
Ghana	48	Q117
Greece	4	Q41
Grenada	17	Q769
Guatemala	25	Q774
Guinea	101	Q1006
Guinea-Bissau	81	Q1007
Guyana	30	Q734
Haiti	65	Q790
Honduras	17	Q783
Hungary	4	Q28
Iceland	2	Q189
India	36	Q668
Indonesia	25	Q252
Iran, Islamic Rep.	14	Q794
Iraq	27	Q796
Ireland	3	Q27
Israel	4	Q801
Italy	3	Q38
Jamaica	14	Q766
Japan	3	Q17
Jordan	16	Q810
Kazakhstan	10	Q232
Kenya	45	Q114
Kiribati	53	Q710
Korea, Dem. People’s Rep.	18	Q423
Korea, Rep.	3	Q884
Kuwait	8	Q817
Kyrgyz Republic	19	Q813
Lao PDR	47	Q819
Latvia	4	Q211
Lebanon	7	Q822
Lesotho	87	Q1013
Liberia	86	Q1014
Libya	12	Q1016
Lithuania	4	Q37
Luxembourg	3	Q32
Madagascar	52	Q1019
Malawi	44	Q1020
Malaysia	8	Q833
Maldives	8	Q826
Mali	97	Q912
Malta	7	Q233
Marshall Islands	33	Q709
Mauritania	75	Q1025
Mauritius	15	Q1027
Mexico	15	Q96
Micronesia, Fed. Sts.	31	Q702
Moldova	15	Q217
Monaco	3	Q235
Mongolia	17	Q711
Montenegro	3	Q236
Morocco	22	Q1028
Mozambique	77	Q1029
Myanmar	46	Q836
Namibia	43	Q1030
Nepal	32	Q837
Netherlands	4	Q55
New Zealand	5	Q664
Nicaragua	17	Q811
Niger	83	Q1032
Nigeria	120	Q1033
North Macedonia	8	Q221
Norway	3	Q20
Oman	11	Q842
Pakistan	69	Q843
Palau	18	Q695
Panama	15	Q804
Papua New Guinea	46	Q691
Paraguay	20	Q733
Peru	14	Q419
Philippines	28	Q928
Poland	5	Q36
Portugal	4	Q45
Qatar	7	Q846
Romania	8	Q218
Russian Federation	6	Q159
Rwanda	36	Q1037
Samoa	16	Q683
San Marino	2	Q238
Sao Tome and Principe	31	Q1039
Saudi Arabia	7	Q851
Senegal	47	Q1041
Serbia	6	Q403
Seychelles	15	Q1042
Sierra Leone	114	Q1044
Singapore	3	Q334
Slovak Republic	6	Q214
Slovenia	2	Q215
Solomon Islands	20	Q685
Somalia	120	Q1045
South Africa	35	Q258
South Sudan	96	Q958
Spain	3	Q29
Sri Lanka	7	Q854
St. Kitts and Nevis	16	Q763
St. Lucia	22	Q760
St. Vincent and the Grenadines	15	Q757
Sudan	60	Q1049
Suriname	19	Q730
Sweden	3	Q34
Switzerland	4	Q39
Syrian Arab Republic	22	Q858
Tajikistan	35	Q863
Tanzania	52	Q924
Thailand	9	Q869
Timor-Leste	46	Q574
Togo	69	Q945
Tonga	17	Q678
Trinidad and Tobago	18	Q754
Tunisia	17	Q948
Turkey	11	Q43
Turkmenistan	42	Q874
Tuvalu	25	Q672
Uganda	48	Q1036
Ukraine	9	Q212
United Arab Emirates	8	Q878
United Kingdom	4	Q145
United States	7	Q30
Uruguay	8	Q77
Uzbekistan	18	Q265
Vanuatu	27	Q686
Venezuela, RB	24	Q717
Vietnam	20	Q881
West Bank and Gaza	20	Q407199
Yemen, Rep.	59	Q805
Zambia	63	Q953
Zimbabwe	56	Q954
