Country	Total (1990)	Total (2019)	Male (2019)	Female (2019)	ID
Afghanistan	178	60	64	57	Q889
Albania	41	10	11	9	Q222
Algeria	50	23	25	22	Q262
Andorra	13	3	3	3	Q228
Angola	222	75	80	69	Q916
Antigua and Barbuda	14	7	7	6	Q781
Argentina	29	9	10	8	Q414
Armenia	49	12	13	11	Q399
Australia	9	4	4	3	Q408
Austria	10	4	4	3	Q40
Azerbaijan	95	20	22	18	Q227
Bahamas, The	24	13	14	12	Q778
Bahrain	23	7	7	7	Q398
Bangladesh	144	31	33	29	Q902
Barbados	18	13	14	12	Q244
Belarus	15	3	4	3	Q184
Belgium	10	3	4	3	Q31
Belize	38	12	14	11	Q242
Benin	175	90	96	84	Q962
Bhutan	127	29	31	26	Q917
Bolivia	122	26	29	23	Q750
Bosnia and Herzegovina	18	6	6	5	Q225
Botswana	48	42	45	38	Q963
Brazil	63	14	16	12	Q155
Brunei Darussalam	13	11	13	10	Q921
Bulgaria	18	7	7	6	Q219
Burkina Faso	199	88	92	83	Q965
Burundi	174	57	61	52	Q967
Cabo Verde	61	15	16	13	Q1011
Cambodia	116	27	30	23	Q424
Cameroon	136	75	81	69	Q1009
Canada	8	5	5	5	Q16
Central African Republic	177	110	116	104	Q929
Chad	212	114	120	107	Q657
Chile	19	7	8	6	Q298
China	54	8	8	7	Q148
Colombia	35	14	15	12	Q739
Comoros	124	63	68	58	Q970
Congo, Dem. Rep.	185	85	91	78	Q974
Congo, Rep.	90	48	52	44	Q971
Costa Rica	17	9	9	8	Q800
Cote d'Ivoire	152	79	87	71	Q1008
Croatia	13	5	5	4	Q224
Cuba	14	5	6	5	Q241
Cyprus	11	2	3	2	Q229
Czech Republic	12	3	4	3	Q213
Denmark	9	4	4	3	Q35
Djibouti	118	58	62	52	Q977
Dominica	17	35	39	34	Q784
Dominican Republic	60	28	31	25	Q786
Ecuador	54	14	16	12	Q736
Egypt, Arab Rep.	86	20	22	19	Q79
El Salvador	60	13	15	12	Q792
Equatorial Guinea	178	82	88	76	Q983
Eritrea	153	41	46	35	Q986
Estonia	18	2	3	2	Q191
