Country	%_2000	%_2018	ID
Afghanistan	14.7	13.9	Q889
Albania	16.9	11.2	Q222
Algeria	29.7	21.1	Q262
Angola	2.8	7.3	Q916
Argentina	16.3	10.5	Q414
Armenia	14.5	17.2	Q399
Australia	6.1	5.3	Q408
Austria	4.6	4.7	Q40
Azerbaijan	12.8	5.8	Q227
Bahamas, The	8	9.9	Q778
Bahrain	4.5	2.7	Q398
Bangladesh	3.3	6.6	Q902
Barbados	11.4	9.6	Q244
Belarus	10.1	3.6	Q184
Belgium	8.3	5.6	Q31
Belize	18.3	9.7	Q242
Benin	0.5	2.6	Q962
Bhutan	2.2	3.1	Q917
Bolivia	3.7	3.6	Q750
Bosnia and Herzegovina	29.7	20.3	Q225
Botswana	17.3	20.5	Q963
Brazil	12.9	14.2	Q155
Brunei Darussalam	7.3	9.6	Q921
Bulgaria	15.8	4.7	Q219
Burkina Faso	2.7	8.9	Q965
Burundi	1.4	1	Q967
Cabo Verde	10.9	11.5	Q1011
Cambodia	1.5	0.8	Q424
Cameroon	6.6	3.8	Q1009
Canada	6.7	5.5	Q16
Central African Republic	3.8	3.6	Q929
Chad	0.6	1.6	Q657
Channel Islands	8.2	7.7	Q42314
Chile	12.5	8	Q298
China	2.8	3.7	Q148
Colombia	25.1	11.8	Q739
Comoros	4.9	4.7	Q970
Congo, Dem. Rep.	2.2	3.4	Q974
Congo, Rep.	21.2	10.3	Q971
Costa Rica	6.6	12.2	Q800
Cote d'Ivoire	4.4	3.8	Q1008
Croatia	17.3	9.3	Q224
Cuba	8.4	1.8	Q241
Cyprus	7.4	8.8	Q229
Czech Republic	10.5	2.8	Q213
Denmark	5	5.1	Q35
Djibouti	10.5	10.4	Q977
Dominican Republic	10.7	8.1	Q786
Ecuador	6.4	4.4	Q736
Egypt, Arab Rep.	23	23	Q79
El Salvador	3.7	3.8	Q792
Equatorial Guinea	6.7	6.1	Q983
Eritrea	5.2	4.9	Q986
Estonia	11.6	5.3	Q191
Eswatini	27.5	23.9	Q1050
Ethiopia	4.7	2.7	Q115
Fiji	5.1	5.5	Q712
Finland	12	7.3	Q33
France	12.2	9.1	Q142
French Polynesia	13.5	13.4	Q30971
Gabon	20.2	28.1	Q1000
Gambia, The	12.6	12.2	Q1005
Georgia	10.5	12.5	Q230
Germany	8.3	2.9	Q183
Ghana	10.7	4.3	Q117
Greece	17.2	24.3	Q41
Guam	13	4.9	Q16635
Guatemala	3.4	3.5	Q774
Guinea	3.5	3.3	Q1006
Guinea-Bissau	2.4	2.2	Q1007
Guyana	15.1	15.2	Q734
Haiti	9.5	16.6	Q790
Honduras	4.1	7.2	Q783
Hong Kong SAR, China	4	2.6	Q8646
Hungary	5.8	4	Q28
Iceland	2.6	2.5	Q189
India	5.4	5.3	Q668
Indonesia	6.7	4.3	Q252
Iran, Islamic Rep.	18.6	19.1	Q794
Iraq	7.5	30.9	Q796
Ireland	4.3	5.7	Q27
