Country	Total	ID
Afghanistan	62.7	Q889
Angola	55.5	Q916
Argentina	16.7	Q414
Armenia	14.4	Q399
Bangladesh	55.1	Q902
Belize	10.8	Q242
Benin	61.5	Q962
Bolivia	43.5	Q750
Brazil	22.3	Q155
Burkina Faso	65.8	Q965
Burundi	57.9	Q967
Cambodia	55.1	Q424
Cameroon	37.8	Q1009
Central African Republic	93.3	Q929
Chad	88.2	Q657
China	25.2	Q148
Colombia	13.1	Q739
Comoros	69.6	Q970
Congo, Dem. Rep.	74.8	Q974
Congo, Rep.	46.9	Q971
Costa Rica	5.5	Q800
Cote d'Ivoire	56	Q1008
Djibouti	65.6	Q977
Dominican Republic	12.1	Q786
Ecuador	36	Q736
Egypt, Arab Rep.	10.6	Q79
Equatorial Guinea	66.2	Q983
Eswatini	32.7	Q1050
Ethiopia	73.9	Q115
Gabon	37	Q1000
Gambia, The	34.8	Q1005
Ghana	37.9	Q117
Guatemala	34.5	Q774
Guinea	43.3	Q1006
Guinea-Bissau	82.3	Q1007
Guyana	33.1	Q734
Haiti	74.4	Q790
Honduras	27.5	Q783
India	24	Q668
Indonesia	21.8	Q252
Iraq	47.2	Q796
Jordan	12.9	Q810
Kenya	56	Q114
Lao PDR	31.4	Q819
Lesotho	50.8	Q1013
Liberia	65.7	Q1014
Malawi	77.2	Q1020
Malaysia	66.7	Q833
Malta	56.3	Q233
Mauritius	79.9	Q1027
Micronesia, Fed. Sts.	11.1	Q702
Montenegro	42.7	Q236
Mozambique	13.1	Q1029
Myanmar	80.3	Q836
Namibia	41	Q1030
Nepal	33.2	Q837
Netherlands	54.3	Q55
Nigeria	70.1	Q1033
North Macedonia	50.2	Q221
Pakistan	45.5	Q843
Panama	25.8	Q804
Peru	34.2	Q419
Philippines	38.3	Q928
Rwanda	53.2	Q1037
Sao Tome and Principe	86.6	Q1039
Senegal	39.4	Q1041
Sierra Leone	75.6	Q1044
Somalia	73.6	Q1045
South Africa	23	Q258
South Sudan	95.6	Q958
Sudan	91.6	Q1049
Suriname	7.3	Q730
Syrian Arab Republic	19.3	Q858
Tanzania	50.7	Q924
Thailand	25	Q869
Togo	51.2	Q945
Tunisia	8	Q948
Turkey	11.9	Q43
Uganda	53.6	Q1036
Vietnam	27.2	Q881
Yemen, Rep.	60.8	Q805
Zambia	54	Q953
Zimbabwe	25.1	Q954
