Country	Male_2000	Male_2018	Female_2000	Female_2018	ID
Afghanistan	90.6	77.1	98.3	90.1	Q889
Albania	59.7	53.8	65.5	53.7	Q222
Algeria	30.3	27.7	36.6	23.3	Q262
Angola	46.2	52.6	76.1	79.8	Q916
Argentina	24.4	22.8	20.6	20	Q414
Armenia	42.6	39.4	54.2	38.3	Q399
Australia	14.9	12.8	9.2	8.1	Q408
Austria	7.8	7.9	9.4	6.9	Q40
Azerbaijan	47.8	48.2	65.6	63.3	Q227
Bahamas, The	19.2	19.4	10	8.3	Q778
Bahrain	2	1.1	0.4	0.9	Q398
Bangladesh	62	50.6	81	67.6	Q902
Barbados	16.6	20.3	7.8	11.2	Q244
Belarus	4.9	4.4	2.1	2.2	Q184
Belgium	11.5	11.8	11.5	8.5	Q31
Belize	26.4	29.5	21.3	30	Q242
Benin	84.7	81.8	95.4	94.2	Q962
Bhutan	70.5	63.4	81.4	84.1	Q917
Bolivia	60.7	58.8	73.6	69.7	Q750
Bosnia and Herzegovina	25	15.7	28.9	17.6	Q225
Botswana	27.9	23.2	33.2	29.2	Q963
Brazil	33.9	31	31	23.7	Q155
Brunei Darussalam	4.5	5.8	4	6.5	Q921
Bulgaria	16.1	9.2	11.6	6.5	Q219
Burkina Faso	90.8	83.9	96.3	90.1	Q965
Burundi	92.3	92.1	96.9	96.8	Q967
Cabo Verde	39.4	27	50.8	46.2	Q1011
Cambodia	80.7	43.2	91	58.4	Q424
Cameroon	67.8	65.1	90.5	83.5	Q1009
Canada	11.9	11.9	9.1	9.4	Q16
Central African Republic	88.5	87.9	96	95.7	Q929
Chad	90.6	88.2	99.1	98.8	Q657
Channel Islands	11.9	11.7	9.3	8	Q42314
Chile	29.9	22.7	23.1	23.1	Q298
China	55.2	42.8	67.5	49.2	Q148
Hong Kong SAR, China	7.3	7.4	3.4	4	Q8646
Macao SAR, China	9.5	4.2	7.2	1.9	Q14773
Colombia	47	47.8	46.7	46.4	Q739
Comoros	56.5	53.8	79.6	77.5	Q970
Congo, Dem. Rep.	81.1	69.8	95.3	90.2	Q974
Congo, Rep.	64.1	62.2	91.5	90.7	Q971
Costa Rica	24.9	21.1	20.5	20.9	Q800
Cote d'Ivoire	71.2	63.9	89.6	82.3	Q1008
Croatia	18.7	8	18.9	6.6	Q224
Cuba	13.2	30.4	4.4	11.7	Q241
Cyprus	20.2	12.7	14.9	9.3	Q229
Czech Republic	13.2	16.2	7.7	10.8	Q213
Denmark	5.5	6.1	4.3	3.6	Q35
Djibouti	42.3	39.1	57.9	54.1	Q977
Dominican Republic	45.6	48	28	28.5	Q786
Ecuador	34.5	40.1	53	56.9	Q736
Egypt, Arab Rep.	19.5	17.8	38.4	34	Q79
El Salvador	31.7	27.9	45.6	43.1	Q792
Equatorial Guinea	73.9	71.3	90.7	87.5	Q983
Eritrea	82.6	81	93.6	92.9	Q986
Estonia	5.8	7.5	4.8	4.8	Q191
Eswatini	15.8	26.6	30.8	39.7	Q1050
Ethiopia	87.7	83.6	91.9	89.3	Q115
Fiji	38.2	41.2	39.2	48.1	Q712
Finland	11.5	11.7	6.6	7.4	Q33
France	7.8	8.6	6.2	6.2	Q142
French Polynesia	17.6	14.2	13.6	10.6	Q30971
Gabon	33.2	27.1	55.6	39.2	Q1000
Gambia, The	67.5	64.2	85.2	83.2	Q1005
Georgia	58.5	49	62.1	49.8	Q230
Germany	6.3	6.2	5.2	5	Q183
Ghana	69.7	60.8	85.5	78.5	Q117
Greece	33.3	27.4	35.2	23.7	Q41
Guam	10.9	10.6	7.2	7.1	Q16635
Guatemala	41.9	32.7	55.7	47.6	Q774
Guinea	85	82.1	96.4	95.5	Q1006
Guinea-Bissau	70.3	67.9	86.4	84.7	Q1007
Guyana	28.6	23.9	36	28.8	Q734
Haiti	70.1	64.5	85.5	81.8	Q790
Honduras	35.9	34.5	50.5	53.1	Q783
Hungary	12.3	6.6	7.5	5.5	Q28
Iceland	13.8	10	7.6	6.1	Q189
India	81.4	74.1	90.5	76.3	Q668
Indonesia	61.4	42.6	70.6	57.2	Q252
Iran, Islamic Rep.	41.2	41.3	46.6	42.2	Q794
Iraq	28.5	21.1	35.8	8.7	Q796
Ireland	17.8	14.9	6.4	5.7	Q27
Israel	8.7	8.9	5.2	7.6	Q801
Italy	22.4	19.4	18.2	13.4	Q38
Jamaica	41.3	39.9	33	30.6	Q766
Japan	11.5	8.7	17.1	8	Q17
Jordan	10.8	10.6	2	1.8	Q810
Kazakhstan	35.8	23.5	44.4	22.6	Q232
Kenya	47	43.5	73.4	59.9	Q114
Korea, Dem. Peopleâ€™s Rep.	82.9	82.5	94.3	93.8	Q423
Korea, Rep.	26.1	19.3	35.5	19.1	Q884
Kuwait	2.8	1.4	0.3	0	Q817
Kyrgyz Republic	52.1	37.7	50.7	27.8	Q813
Lao PDR	83.7	73.7	93.1	87.4	Q819
Latvia	10.4	7.4	11.1	7	Q211
Lebanon	37.8	30.9	15	14.1	Q822
Lesotho	16.1	14.1	21.7	19.5	Q1013
Liberia	70.7	65.4	89.8	90.1	Q1014
Libya	6.4	6.4	4.4	4.3	Q1016
Lithuania	20.4	10.8	15.6	7.7	Q37
Luxembourg	6.5	5.7	6.4	5.6	Q32
Madagascar	80.9	81	86.6	89.6	Q1019
Malawi	56.5	53.7	68.3	65.4	Q1020
