Country	Median wealth	Mean wealth 	Adult population 	ID
Switzerland	227,891	564,653	6,866	Q39
Australia	181,361	386,058	18,655	Q408
Iceland	165,961	380,868	250	Q189
Hong Kong	146,887	489,258	6,267	Q8646
Luxembourg	139,789	358,003	461	Q32
Belgium	117,093	246,135	8,913	Q31
New Zealand	116,433	304,124	3,525	Q664
Japan	110,408	238,104	104,963	Q17
Canada	107,004	294,255	29,136	Q16
Ireland	104,842	272,31	3,491	Q27
France	101,942	276,121	49,722	Q142
United Kingdom	97,452	280,049	51,209	Q145
Singapore	96,967	297,873	4,637	Q334
Spain	95,36	207,531	37,45	Q29
Austria	94,07	274,919	7,092	Q40
Italy	91,889	234,139	48,509	Q38
Malta	76,016	143,566	349	Q233
South Korea	72,198	175,015	41,721	Q884
Norway	70,627	267,348	4,1	Q20
Taiwan	70,191	210,525	19,296	Q865
Qatar	69,671	147,745	2,223	Q846
United States	65,904	432,365	245,14	Q30
Denmark	58,784	284,022	4,475	Q35
Israel	58,066	196,568	5,499	Q801
Finland	55,532	183,124	4,341	Q33
Slovenia	50,38	122,508	1,675	Q215
Kuwait	46,218	131,269	3,086	Q817
Portugal	44,025	131,088	8,373	Q45
Sweden	41,582	265,26	7,723	Q34
Slovakia	40,432	66,171	4,34	Q214
Greece	40	96,11	9,021	Q41
United Arab Emirates	35,315	117,06	7,874	Q878
Germany	35,313	216,654	67,668	Q183
Netherlands	31,057	279,077	13,326	Q55
Bahrain	30,946	87,108	1,219	Q398
Croatia	29,183	62,804	3,329	Q224
Cyprus	28,803	116,207	918	Q229
Estonia	24,915	78,458	1,028	Q191
Montenegro	24,242	53,484	477	Q236
Poland	22,6	57,873	30,598	Q36
Seychelles	22,572	57,835	68	Q1042
Lithuania	22,261	50,254	2,296	Q37
Aruba	21,75	58,033	80	Q21203
China	20,942	58,544	1,090,231	Q148
Mauritius	20,875	50,796	951	Q1027
Czech Republic	20,854	64,663	8,509	Q213
Barbados	20,497	64,658	214	Q244
Bahamas	20,129	76,507	292	Q778
Tonga	19,709	47,889	59	Q678
Romania	19,582	43,074	15,517	Q218
Chile	19,231	56,972	13,331	Q298
Bulgaria	18,948	42,686	5,697	Q219
Hungary	17,666	44,321	7,803	Q28
Saudi Arabia	16,599	67,032	23,208	Q851
Trinidad and Tobago	14,888	41,094	1,006	Q754
Albania	14,731	31,366	2,225	Q222
Oman	14,723	43,291	3,608	Q842
Brunei	13,634	44,541	304	Q921
St. Lucia	13,418	36,586	133	Q760
Latvia	13,348	60,347	1,536	Q211
Samoa	13,286	37,066	106	Q683
Panama	13,259	39,98	2,711	Q804
Bosnia and Herzegovina	13,037	27,873	2,815	Q225
Grenada	12,218	45,272	71	Q769
Lebanon	12,198	55,226	4,205	Q822
Costa Rica	11,793	33,683	3,547	Q800
Uruguay	11,084	30,32	2,501	Q77
Jordan	10,947	26,475	5,512	Q810
Serbia	10,737	25,046	6,798	Q403
El Salvador	10,148	29,87	4,087	Q792
Mexico	9,944	31,553	85,594	Q96
Dominica	9,447	33,306	55	Q784
Malaysia	8,94	31,27	21,823	Q833
Maldives	8,555	23,297	315	Q826
Libya	8,33	19,473	4,169	Q1016
Armenia	8,309	19,517	2,177	Q399
Sri Lanka	8,283	20,628	14,408	Q854
Belarus	7,931	16,59	7,39	Q184
Iraq	7,331	16,54	19,788	Q796
Turkmenistan	6,974	15,691	3,607	Q874
Antigua and Barbuda	6,961	24,964	71	Q781
Jamaica	6,798	20,878	2,002	Q766
Kazakhstan	6,642	26,317	12,147	Q232
Turkey	6,568	24,398	55,543	Q43
South Africa	6,476	21,38	36,027	Q258
Ecuador	6,399	19,144	10,725	Q736
Fiji	6,126	15,598	580	Q712
Vanuatu	6,098	15,09	157	Q686
Gabon	6,035	15,113	1,149	Q1000
Moldova	5,855	12,804	3,193	Q217
Equatorial Guinea	5,545	17,023	724	Q983
St. Vincent and the Grenadines	5,508	20,088	75	Q757
Namibia	5,502	17,22	1,395	Q1030
Tunisia	5,395	13,853	8,111	Q948
Colombia	5,325	16,411	34,254	Q739
Solomon Islands	5,26	12,933	321	Q685
Iran	5,254	13,437	57,686	Q794
Georgia	5,226	12,609	2,932	Q230
Azerbaijan	5,15	11,865	6,997	Q227
Brazil	5,031	23,55	150,089	Q155
Peru	4,989	17,843	21,132	Q419
Egypt	4,9	15,395	58,309	Q79
Botswana	4,55	14,684	1,409	Q963
Morocco	4,01	12,929	23,613	Q1028
Paraguay	3,887	11,865	4,268	Q733
Bolivia	3,843	11,672	6,678	Q750
Guyana	3,829	11,349	482	Q734
Russia	3,683	27,381	111,481	Q159
Vietnam	3,679	11,712	68,085	Q881
Kenya	3,553	9,791	25,384	Q114
Thailand	3,526	21,853	53,073	Q869
Algeria	3,267	9,348	26,983	Q262
Belize	3,166	10,864	228	Q242
Argentina	3,164	10,256	30,32	Q414
India	3,042	14,569	865,783	Q668
Nicaragua	3,005	9,279	3,937	Q811
Bangladesh	2,787	6,643	104,872	Q902
Philippines	2,663	12,063	63,365	Q928
Mongolia	2,654	6,135	1,986	Q711
Timor-Leste	2,453	5,143	602	Q574
Kyrgyzstan	2,412	5,758	3,721	Q813
Papua New Guinea	2,12	6,485	4,611	Q691
Cambodia	2,029	5,395	9,797	Q424
Laos	2,002	6,72	4,042	Q819
Indonesia	1,977	10,545	172,908	Q252
Eritrea	1,91	4,134	2,526	Q986
Zimbabwe	1,843	4,734	8,34	Q954
Pakistan	1,766	4,096	113,388	Q843
Ghana	1,706	4,292	15,377	Q117
Comoros	1,679	5,155	423	Q970
Senegal	1,632	4,265	7,763	Q1041
Tajikistan	1,589	3,602	5,118	Q863
Suriname	1,562	6,089	373	Q730
Myanmar	1,556	3,323	34,915	Q836
Sao Tome and Principe	1,545	3,654	98	Q1039
Nepal	1,51	3,87	17,585	Q837
Yemen	1,467	4,926	14,58	Q805
Angola	1,37	3,649	13,403	Q916
Ethiopia	1,36	3,085	52,97	Q115
Tanzania	1,282	3,069	26,837	Q924
Rwanda	1,259	3,435	6,313	Q1037
Nigeria	1,249	4,881	90,731	Q1033
Ukraine	1,223	8,792	34,998	Q212
Djibouti	1,12	2,936	583	Q977
Cameroon	1,036	2,84	11,754	Q1009
Mauritania	976	2,397	2,31	Q1025
Congo, Republic of	913	2,701	2,618	Q971
Syria	884	2,179	9,664	Q858
Benin	845	2,166	5,475	Q962
Liberia	820	2,169	2,35	Q1014
Guinea	802	2,185	6,268	Q1006
Zambia	784	2,565	7,926	Q953
Mali	773	1,955	8,088	Q912
Gambia	693	2,141	969	Q1005
Guinea-Bissau	655	1,647	936	Q1007
Afghanistan	640	1463	16,838	Q889
Madagascar	626	1,61	12,909	Q1019
Uganda	612	1,603	18,65	Q1036
Burkina Faso	589	1,44	8,862	Q965
Togo	469	1,241	3,909	Q945
Malawi	468	1,313	8,798	Q1020
Niger	463	1,126	8,909	Q1032
Chad	435	1,167	6,551	Q657
Lesotho	384	1,313	1,233	Q1013
Democratic Republic of the Congo	382	1,084	37,1	Q974
Mozambique	352	880	13,814	Q1029
Sierra Leone	278	693	3,698	Q1044
Burundi	250	609	5,131	Q967
Central African Republic	244	749	2,183	Q929
Sudan	218	534	20,474	Q1049
Haiti	214	723	6,426	Q790
