Country	Total	ID
Afghanistan	34.8	Q889
Albania	11.8	Q222
Algeria	2.5	Q262
Angola	30.3	Q916
Armenia	5.3	Q399
Azerbaijan	11	Q227
Bangladesh	58.6	Q902
Barbados	10.7	Q244
Belarus	3.2	Q184
Belize	25.9	Q242
Benin	30.6	Q962
Bolivia	19.4	Q750
Bosnia and Herzegovina	3.5	Q225
Burundi	19	Q967
Cambodia	18.5	Q424
Cameroon	31	Q1009
Chad	66.9	Q657
Colombia	23.4	Q739
Comoros	31.6	Q970
Congo, Dem. Rep.	37.3	Q974
Congo, Rep.	27.3	Q971
Costa Rica	21.2	Q800
Cote d'Ivoire	27	Q1008
Cuba	26	Q241
Dominican Republic	35.9	Q786
Egypt, Arab Rep.	17.4	Q79
El Salvador	25.5	Q792
Equatorial Guinea	29.5	Q983
Eswatini	5.3	Q1050
Ethiopia	40.3	Q115
Gabon	21.9	Q1000
Gambia, The	30.4	Q1005
Ghana	20.7	Q117
Guatemala	29.5	Q774
Guinea	51.2	Q1006
Guinea-Bissau	24.4	Q1007
Guyana	30.2	Q734
Haiti	14.9	Q790
Honduras	33.6	Q783
India	25.3	Q668
Indonesia	13.6	Q252
Iran, Islamic Rep.	17	Q794
Iraq	24.3	Q796
Jamaica	7.9	Q766
Jordan	9.7	Q810
Kazakhstan	7	Q232
Kenya	22.9	Q114
Kyrgyz Republic	11.6	Q813
Lao PDR	35.4	Q819
Lesotho	17.3	Q1013
Liberia	35.9	Q1014
North Macedonia	6.9	Q221
Madagascar	41.2	Q1019
Malawi	42.1	Q1020
Maldives	2.2	Q826
Mali	51.5	Q912
Mauritania	37	Q1025
Mexico	26.1	Q96
Moldova	12.2	Q217
Mongolia	5.2	Q711
Montenegro	4.5	Q236
Mozambique	52.9	Q1029
Myanmar	16	Q836
Namibia	6.9	Q1030
Nepal	39.5	Q837
Nicaragua	35.2	Q811
Niger	76.3	Q1032
Nigeria	43.5	Q1033
Pakistan	18.3	Q843
Panama	26.4	Q804
Paraguay	21.6	Q733
Peru	21.5	Q419
Philippines	16.5	Q928
Qatar	4.2	Q846
Rwanda	6.8	Q1037
Samoa	10.8	Q683
Sao Tome and Principe	35.4	Q1039
Senegal	28.8	Q1041
Serbia	3.2	Q403
Sierra Leone	38.9	Q1044
Solomon Islands	21.3	Q685
South Africa	3.6	Q258
St. Lucia	7.5	Q760
Sudan	34.2	Q1049
Tajikistan	8.7	Q863
Tanzania	30.5	Q924
Thailand	22.5	Q869
Timor-Leste	14.9	Q574
Togo	21.8	Q945
Tonga	5.6	Q678
Trinidad and Tobago	11.2	Q754
Tunisia	1.6	Q948
Turkey	14	Q43
Turkmenistan	5.7	Q874
Uganda	34	Q1036
Ukraine	9.1	Q212
Uruguay	24.6	Q77
Vanuatu	21.4	Q686
Vietnam	10.6	Q881
West Bank and Gaza	15.3	Q407199
Yemen, Rep.	31.9	Q805
Zambia	31.4	Q953
Zimbabwe	32.4	Q954
