Country	Total	ID
Afghanistan	28	Q889
Albania	30	Q222
Algeria	26	Q262
Andorra	46	Q228
Angola	30	Q916
Antigua and Barbuda	11	Q781
Argentina	40	Q414
Armenia	23	Q399
Australia	30	Q408
Austria	39	Q40
Azerbaijan	17	Q227
Bahamas, The	13	Q778
Bahrain	15	Q398
Bangladesh	21	Q902
Barbados	20	Q244
Belarus	40	Q184
Belgium	42	Q31
Belize	9	Q242
Benin	7	Q962
Bhutan	15	Q917
Bolivia	53	Q750
Bosnia and Herzegovina	21	Q225
Botswana	11	Q963
Brazil	15	Q155
Brunei Darussalam	9	Q921
Bulgaria	26	Q219
Burkina Faso	13	Q965
Burundi	36	Q967
Cabo Verde	24	Q1011
Cambodia	20	Q424
Cameroon	31	Q1009
Canada	29	Q16
Central African Republic	9	Q929
Chad	15	Q657
Chile	23	Q298
China	25	Q148
Colombia	19	Q739
Comoros	6	Q970
Congo, Dem. Rep.	10	Q974
Congo, Rep.	11	Q971
Costa Rica	46	Q800
Cote d'Ivoire	11	Q1008
Croatia	21	Q224
Cuba	53	Q241
Cyprus	18	Q229
Czech Republic	23	Q213
Denmark	39	Q35
Djibouti	26	Q977
Dominica	25	Q784
Dominican Republic	27	Q786
Ecuador	38	Q736
Egypt, Arab Rep.	15	Q79
El Salvador	31	Q792
Equatorial Guinea	21	Q983
Eritrea	22	Q986
Estonia	30	Q191
Eswatini	7	Q1050
Ethiopia	39	Q115
Fiji	20	Q712
Finland	47	Q33
France	40	Q142
Gabon	18	Q1000
Gambia, The	10	Q1005
Georgia	15	Q230
Germany	31	Q183
Ghana	13	Q117
Greece	21	Q41
Grenada	47	Q769
Guatemala	19	Q774
Guinea	23	Q1006
Guinea-Bissau	14	Q1007
Guyana	32	Q734
Haiti	3	Q790
Honduras	21	Q783
Hungary	13	Q28
Iceland	38	Q189
India	14	Q668
Indonesia	17	Q252
Iran, Islamic Rep.	6	Q794
Iraq	25	Q796
Ireland	22	Q27
Israel	23	Q801
Italy	36	Q38
Jamaica	17	Q766
Japan	10	Q17
Jordan	15	Q810
Kazakhstan	27	Q232
Kenya	22	Q114
Kiribati	7	Q710
Korea, Dem. Peopleâ€™s Rep.	18	Q423
Korea, Rep.	17	Q884
Kuwait	5	Q817
Kyrgyz Republic	19	Q813
Lao PDR	28	Q819
Latvia	30	Q211
Lebanon	5	Q822
Lesotho	23	Q1013
Liberia	12	Q1014
Libya	16	Q1016
Liechtenstein	12	Q347
Lithuania	21	Q37
Luxembourg	25	Q32
North Macedonia	39	Q221
Madagascar	16	Q1019
Malawi	23	Q1020
Malaysia	14	Q833
Maldives	5	Q826
Mali	10	Q912
Malta	15	Q233
Marshall Islands	6	Q709
Mauritania	20	Q1025
Mauritius	20	Q1027
Mexico	48	Q96
Micronesia, Fed. Sts.	0	Q702
Moldova	26	Q217
Monaco	33	Q235
Mongolia	17	Q711
Montenegro	28	Q236
Morocco	21	Q1028
Mozambique	41	Q1029
Myanmar	11	Q836
Namibia	43	Q1030
Nauru	11	Q697
Nepal	33	Q837
Netherlands	31	Q55
New Zealand	41	Q664
Nicaragua	45	Q811
Niger	17	Q1032
Nigeria	3	Q1033
Norway	41	Q20
Oman	2	Q842
Pakistan	20	Q843
Palau	13	Q695
Panama	21	Q804
Papua New Guinea	0	Q691
Paraguay	15	Q733
Peru	30	Q419
Philippines	28	Q928
Poland	29	Q36
Portugal	39	Q45
Qatar	10	Q846
Romania	22	Q218
Russian Federation	16	Q159
Rwanda	61	Q1037
Samoa	10	Q683
San Marino	25	Q238
Sao Tome and Principe	15	Q1039
Saudi Arabia	20	Q851
Senegal	42	Q1041
Serbia	38	Q403
Seychelles	21	Q1042
Sierra Leone	12	Q1044
Singapore	23	Q334
Slovak Republic	20	Q214
Slovenia	28	Q215
Solomon Islands	4	Q685
Somalia	24	Q1045
South Africa	46	Q258
South Sudan	28	Q958
Spain	44	Q29
Sri Lanka	5	Q854
St. Kitts and Nevis	13	Q763
St. Lucia	17	Q760
St. Vincent and the Grenadines	13	Q757
Sudan	31	Q1049
Suriname	31	Q730
Sweden	47	Q34
Switzerland	42	Q39
Syrian Arab Republic	13	Q858
Tajikistan	19	Q863
Tanzania	37	Q924
Thailand	16	Q869
Timor-Leste	38	Q574
Togo	16	Q945
Tonga	7	Q678
Trinidad and Tobago	31	Q754
Tunisia	23	Q948
Turkey	17	Q43
Turkmenistan	25	Q874
Tuvalu	6	Q672
Uganda	35	Q1036
Ukraine	21	Q212
United Arab Emirates	50	Q878
United Kingdom	32	Q145
United States	23	Q30
Uruguay	19	Q77
Uzbekistan	16	Q265
Vanuatu	0	Q686
Venezuela, RB	22	Q717
Vietnam	27	Q881
Yemen, Rep.	0	Q805
Zambia	18	Q953
Zimbabwe	32	Q954
