Country	Male	Female	ID
Afghanistan	74	56	Q889
Albania	99	100	Q222
Algeria	98	97	Q262
Angola	85	71	Q916
Argentina	99	100	Q414
Armenia	100	100	Q399
Aruba	100	99	Q21203
Azerbaijan	100	100	Q227
Bahrain	100	99	Q398
Bangladesh	92	95	Q902
Barbados	100	100	Q244
Belarus	100	100	Q184
Benin	70	52	Q962
Bhutan	93	93	Q917
Bolivia	99	99	Q750
Bosnia and Herzegovina	100	100	Q225
Botswana	96	99	Q963
Brazil	99	99	Q155
Brunei Darussalam	100	100	Q921
Bulgaria	98	98	Q219
Burkina Faso	62	55	Q965
Burundi	91	86	Q967
Cabo Verde	98	99	Q1011
Cambodia	92	93	Q424
Cameroon	88	82	Q1009
Central African Republic	48	29	Q929
Chad	41	22	Q657
Chile	99	99	Q298
China	100	100	Q148
Macao SAR, China	100	100	Q14773
Colombia	99	99	Q739
Comoros	78	78	Q970
Congo, Dem. Rep.	91	80	Q974
Congo, Rep.	85	79	Q971
Costa Rica	99	100	Q800
Cote d'Ivoire	64	53	Q1008
Croatia	100	100	Q224
Cuba	100	100	Q241
Cyprus	100	100	Q229
Dominican Republic	99	99	Q786
Ecuador	99	99	Q736
Egypt, Arab Rep.	89	87	Q79
El Salvador	98	98	Q792
Equatorial Guinea	98	98	Q983
Eritrea	94	93	Q986
Estonia	100	100	Q191
Eswatini	94	97	Q1050
Ethiopia	74	72	Q115
Fiji	100	100	Q712
Gabon	88	91	Q1000
Gambia, The	71	64	Q1005
Georgia	100	99	Q230
Ghana	93	92	Q117
Greece	99	99	Q41
Grenada	99	100	Q769
Guatemala	95	93	Q774
Guinea	57	37	Q1006
Guinea-Bissau	71	50	Q1007
Guyana	96	97	Q734
Haiti	83	83	Q790
Honduras	95	98	Q783
Hungary	99	99	Q28
India	93	90	Q668
Indonesia	100	100	Q252
Iran, Islamic Rep.	98	98	Q794
Iraq	95	92	Q796
Italy	100	100	Q38
Jamaica	94	99	Q766
Jordan	99	99	Q810
Kazakhstan	100	100	Q232
Kenya	88	88	Q114
Kuwait	99	100	Q817
Kyrgyz Republic	100	100	Q813
Lao PDR	94	91	Q819
Latvia	100	100	Q211
Lebanon	100	100	Q822
Lesotho	80	94	Q1013
Liberia	65	46	Q1014
Lithuania	100	100	Q37
Madagascar	82	81	Q1019
Malawi	72	73	Q1020
Malaysia	97	97	Q833
Maldives	98	99	Q826
Mali	58	43	Q912
Malta	99	100	Q233
Marshall Islands	98	99	Q709
Mauritania	71	57	Q1025
Mauritius	99	99	Q1027
Mexico	99	99	Q96
Moldova	100	100	Q217
Mongolia	98	99	Q711
Montenegro	99	99	Q236
Morocco	98	97	Q1028
Mozambique	77	65	Q1029
Myanmar	85	84	Q836
Namibia	94	96	Q1030
Nepal	94	91	Q837
New Caledonia	99	99	Q33788
Nicaragua	90	94	Q811
Niger	49	32	Q1032
Nigeria	82	68	Q1033
North Macedonia	99	99	Q221
Oman	98	99	Q842
Pakistan	81	68	Q843
Palau	98	99	Q695
Panama	99	99	Q804
Papua New Guinea	65	71	Q691
Paraguay	98	99	Q733
Peru	99	99	Q419
Philippines	99	99	Q928
Portugal	100	100	Q45
Puerto Rico	92	92	Q1183
Qatar	94	96	Q846
Romania	99	99	Q218
Russian Federation	100	100	Q159
Rwanda	84	89	Q1037
Samoa	99	99	Q683
San Marino	100	100	Q238
Sao Tome and Principe	98	98	Q1039
Saudi Arabia	99	99	Q851
Senegal	76	64	Q1041
Serbia	100	100	Q403
Seychelles	99	100	Q1042
Sierra Leone	71	63	Q1044
Singapore	100	100	Q334
Slovenia	100	100	Q215
South Africa	94	97	Q258
South Sudan	48	47	Q958
Spain	100	100	Q29
Sri Lanka	99	99	Q854
Sudan	73	73	Q1049
Suriname	99	98	Q730
Tajikistan	100	100	Q863
Tanzania	87	85	Q924
Thailand	98	99	Q869
Timor-Leste	82	85	Q574
Togo	90	78	Q945
Tonga	99	100	Q678
Trinidad and Tobago	100	100	Q754
Tunisia	97	96	Q948
Turkey	100	100	Q43
Turkmenistan	100	100	Q874
Uganda	89	90	Q1036
Ukraine	100	100	Q212
United Arab Emirates	100	99	Q878
Uruguay	99	99	Q77
Uzbekistan	100	100	Q265
Vanuatu	96	97	Q686
Venezuela, RB	98	99	Q717
Vietnam	98	98	Q881
West Bank and Gaza	99	99	Q407199
Zambia	93	92	Q953
Zimbabwe	88	93	Q954
