Country	date	total_cases	new_cases	new_cases_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	ID
Aruba	2020-03-13	2.0	2.0		18.733	18.733		Q21203
Aruba	2020-03-19			0.28600000000000003			2.676	Q21203
Aruba	2020-03-20	4.0	2.0	0.28600000000000003	37.465	18.733	2.676	Q21203
Aruba	2020-03-21			0.28600000000000003			2.676	Q21203
Aruba	2020-03-22			0.28600000000000003			2.676	Q21203
Aruba	2020-03-23			0.28600000000000003			2.676	Q21203
Aruba	2020-03-24	12.0	8.0	1.429	112.395	74.93	13.38	Q21203
Aruba	2020-03-25	17.0	5.0	2.1430000000000002	159.227	46.831	20.070999999999998	Q21203
Aruba	2020-03-26	19.0	2.0	2.4290000000000003	177.959	18.733	22.747	Q21203
Aruba	2020-03-27	28.0	9.0	3.429	262.256	84.296	32.113	Q21203
Aruba	2020-03-28	28.0	0.0	3.429	262.256	0.0	32.113	Q21203
Aruba	2020-03-29	28.0	0.0	3.429	262.256	0.0	32.113	Q21203
Aruba	2020-03-30	50.0	22.0	6.571000000000001	468.314	206.058	61.55	Q21203
Aruba	2020-03-31			5.428999999999999			50.846000000000004	Q21203
Aruba	2020-04-01	55.0	5.0	5.428999999999999	515.145	46.831	50.846000000000004	Q21203
Aruba	2020-04-02	55.0	0.0	5.143	515.145	0.0	48.169	Q21203
Aruba	2020-04-03	60.0	5.0	4.571000000000001	561.977	46.831	42.817	Q21203
Aruba	2020-04-04	62.0	2.0	4.857	580.7090000000001	18.733	45.493	Q21203
Aruba	2020-04-05	64.0	2.0	5.143	599.442	18.733	48.169	Q21203
Aruba	2020-04-06	64.0	0.0	2.0	599.442	0.0	18.733	Q21203
Aruba	2020-04-07	71.0	7.0	3.0	665.0060000000001	65.564	28.099	Q21203
Aruba	2020-04-08	74.0	3.0	2.714	693.105	28.099	25.423000000000002	Q21203
Aruba	2020-04-09	77.0	3.0	3.1430000000000002	721.203	28.099	29.436999999999998	Q21203
Aruba	2020-04-10	82.0	5.0	3.1430000000000002	768.035	46.831	29.436999999999998	Q21203
Aruba	2020-04-11	86.0	4.0	3.429	805.5	37.465	32.113	Q21203
Aruba	2020-04-12	92.0	6.0	4.0	861.698	56.198	37.465	Q21203
Aruba	2020-04-13	92.0	0.0	4.0	861.698	0.0	37.465	Q21203
Aruba	2020-04-14	92.0	0.0	3.0	861.698	0.0	28.099	Q21203
Aruba	2020-04-15	92.0	0.0	2.571	861.698	0.0	24.085	Q21203
Aruba	2020-04-16	93.0	1.0	2.286	871.064	9.366	21.409000000000002	Q21203
Aruba	2020-04-17	95.0	2.0	1.857	889.796	18.733	17.395	Q21203
Aruba	2020-04-18	96.0	1.0	1.429	899.163	9.366	13.38	Q21203
Aruba	2020-04-19	96.0	0.0	0.5710000000000001	899.163	0.0	5.352	Q21203
Aruba	2020-04-20	97.0	1.0	0.7140000000000001	908.529	9.366	6.69	Q21203
Aruba	2020-04-21	97.0	0.0	0.7140000000000001	908.529	0.0	6.69	Q21203
Aruba	2020-04-22	97.0	0.0	0.7140000000000001	908.529	0.0	6.69	Q21203
Aruba	2020-04-23	100.0	3.0	1.0	936.628	28.099	9.366	Q21203
Aruba	2020-04-24	100.0	0.0	0.7140000000000001	936.628	0.0	6.69	Q21203
Aruba	2020-04-25	100.0	0.0	0.5710000000000001	936.628	0.0	5.352	Q21203
Aruba	2020-04-26	100.0	0.0	0.5710000000000001	936.628	0.0	5.352	Q21203
Aruba	2020-04-27	100.0	0.0	0.429	936.628	0.0	4.013999999999999	Q21203
Aruba	2020-04-28	100.0	0.0	0.429	936.628	0.0	4.013999999999999	Q21203
Aruba	2020-04-29	100.0	0.0	0.429	936.628	0.0	4.013999999999999	Q21203
Aruba	2020-04-30	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-01	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-02	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-03	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-04	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-05	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-06	100.0	0.0	0.0	936.628	0.0	0.0	Q21203
Aruba	2020-05-07	101.0	1.0	0.14300000000000002	945.9939999999999	9.366	1.338	Q21203
Aruba	2020-05-08	101.0	0.0	0.14300000000000002	945.9939999999999	0.0	1.338	Q21203
Aruba	2020-05-09	101.0	0.0	0.14300000000000002	945.9939999999999	0.0	1.338	Q21203
Aruba	2020-05-10	101.0	0.0	0.14300000000000002	945.9939999999999	0.0	1.338	Q21203
Aruba	2020-05-11	101.0	0.0	0.14300000000000002	945.9939999999999	0.0	1.338	Q21203
Aruba	2020-05-12	101.0	0.0	0.14300000000000002	945.9939999999999	0.0	1.338	Q21203
Aruba	2020-05-13	101.0	0.0	0.14300000000000002	945.9939999999999	0.0	1.338	Q21203
Aruba	2020-05-14	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-15	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-16	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-17	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-18	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-19	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-20	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-21	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-22	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
Aruba	2020-05-23	101.0	0.0	0.0	945.9939999999999	0.0	0.0	Q21203
